Register Başlangıç;Register Uznluk;Parametre;Birim;Scale;Veri Tipi;Açıklama (Türkçe);Paket
0.0;2.0;VL1n;V;1.0;float;Gerilim VL1n;RG20C
2.0;2.0;VL2n;V;1.0;float;Gerilim VL2n;RG20C
4.0;2.0;VL3n;V;1.0;float;Gerilim VL3n;RG20C
8.0;2.0;VL1L2;V;1.0;float;Gerilim VL1L2;RG20C
10.0;2.0;VL2L3;V;1.0;float;Gerilim VL2L3;RG20C
12.0;2.0;VL3L1;V;1.0;float;Gerilim VL3L1;RG20C
14.0;2.0;IL1;mA;1.0;float;Akım IL1;RG20C
16.0;2.0;IL2;mA;1.0;float;Akım IL2;RG20C
18.0;2.0;IL3;mA;1.0;float;Akım IL3;RG20C
;;PL1;;;;Güç PL1;
;;PL2;;;;Güç PL2;
;;PL3;;;;Güç PL3;
42.0;2.0;∑P;W;1.0;float;∑P;RG20C
48.0;2.0;QL1;var;1.0;float;QL1;RG20C
50.0;2.0;QL2;var;1.0;float;QL2;RG20C
52.0;2.0;QL3;var;1.0;float;QL3;RG20C
64.0;2.0;∑Q;var;1.0;float;∑Q;RG20C
;;∑S;;;;∑S;
134.0;2.0;PF;;1.0;float;Güç Faktörü;RG20C
32.0;2.0;frequency;Hz;1.0;float;Frekans;RG20C
;;pozitif aktif enerji           Ep +;;;;pozitif aktif enerji           Ep +;
;;negatif aktif enerji         Ep-;;;;negatif aktif enerji         Ep-;
;;Inductive reaktif enerji    Eq +;;;;Inductive reaktif enerji    Eq +;
;;Capacitive reaktif enerji       Eq-;;;;Capacitive reaktif enerji       Eq-;
22.0;2.0;In (nötr akım);mA;1.0;float;In (nötr akım);RG20C
;;SL1;;;;SL1;
68.0;2.0;SL2;VA;1.0;float;SL2;RG20C
70.0;2.0;SL3;VA;1.0;float;SL3;RG20C
126.0;2.0;PFL1;-;1.0;float;Güç Faktörü L1;RG20C
128.0;2.0;PFL2;-;1.0;float;Güç Faktörü L2;RG20C
130.0;2.0;PFL3;-;1.0;float;Güç Faktörü L3;RG20C
;;VL1 RMS;;;;Gerilim VL1 RMS;
;;VL2 RMS;;;;Gerilim VL2 RMS;
;;VL3 RMS;;;;Gerilim VL3 RMS;
;;IL1 RMS;;;;Akım IL1 RMS;
;;IL2 RMS;;;;Akım IL2 RMS;
;;IL3 RMS;;;;Akım IL3 RMS;
;;VL1 Fund;;;;Gerilim VL1 Fund;
;;VL2 Fund;;;;Gerilim VL2 Fund;
;;VL3 Fund;;;;Gerilim VL3 Fund;
;;IL1 Fund;;;;Akım IL1 Fund;
;;IL2 Fund;;;;Akım IL2 Fund;
;;IL3 Fund;;;;Akım IL3 Fund;
;;VL1 Toplam Harmonik Distorsiyon;;;;Gerilim VL1 Toplam Harmonik Distorsiyon;
;;VL2 Toplam Harmonik Distorsiyon;;;;Gerilim VL2 Toplam Harmonik Distorsiyon;
;;VL3 Toplam Harmonik Distorsiyon;;;;Gerilim VL3 Toplam Harmonik Distorsiyon;
;;IL1 Toplam Harmonik Distorsiyon;;;;Akım IL1 Toplam Harmonik Distorsiyon;
;;IL2 Toplam Harmonik Distorsiyon;;;;Akım IL2 Toplam Harmonik Distorsiyon;
;;IL3 Toplam Harmonik Distorsiyon;;;;Akım IL3 Toplam Harmonik Distorsiyon;
8226.0;2.0;VL1 H2;V;1.0;float;Gerilim VL1 H2;RG20C
8230.0;2.0;VL2 H2;V;1.0;float;Gerilim VL2 H2;RG20C
8234.0;2.0;VL3 H2;V;1.0;float;Gerilim VL3 H2;RG20C
4138.0;2.0;IL1 H2;A;1.0;float;Akım IL1 H2;RG20C
4142.0;2.0;IL2 H2;A;1.0;float;Akım IL2 H2;RG20C
4146.0;2.0;IL3 H2;A;1.0;float;Akım IL3 H2;RG20C
8242.0;2.0;VL1 H3;V;1.0;float;Gerilim VL1 H3;RG20C
8246.0;2.0;VL2 H3;V;1.0;float;Gerilim VL2 H3;RG20C
8250.0;2.0;VL3 H3;V;1.0;float;Gerilim VL3 H3;RG20C
4158.0;2.0;IL1 H3;A;1.0;float;Akım IL1 H3;RG20C
4162.0;2.0;IL2 H3;A;1.0;float;Akım IL2 H3;RG20C
4166.0;2.0;IL3 H3;A;1.0;float;Akım IL3 H3;RG20C
8258.0;2.0;VL1 H4;V;1.0;float;Gerilim VL1 H4;RG20C
8262.0;2.0;VL2 H4;V;1.0;float;Gerilim VL2 H4;RG20C
8266.0;2.0;VL3 H4;V;1.0;float;Gerilim VL3 H4;RG20C
4178.0;2.0;IL1 H4;A;1.0;float;Akım IL1 H4;RG20C
4182.0;2.0;IL2 H4;A;1.0;float;Akım IL2 H4;RG20C
4186.0;2.0;IL3 H4;A;1.0;float;Akım IL3 H4;RG20C
8274.0;2.0;VL1 H5;V;1.0;float;Gerilim VL1 H5;RG20C
8278.0;2.0;VL2 H5;V;1.0;float;Gerilim VL2 H5;RG20C
8282.0;2.0;VL3 H5;V;1.0;float;Gerilim VL3 H5;RG20C
4198.0;2.0;IL1 H5;A;1.0;float;Akım IL1 H5;RG20C
4202.0;2.0;IL2 H5;A;1.0;float;Akım IL2 H5;RG20C
4206.0;2.0;IL3 H5;A;1.0;float;Akım IL3 H5;RG20C
8290.0;2.0;VL1 H6;V;1.0;float;Gerilim VL1 H6;RG20C
8294.0;2.0;VL2 H6;V;1.0;float;Gerilim VL2 H6;RG20C
8298.0;2.0;VL3 H6;V;1.0;float;Gerilim VL3 H6;RG20C
4218.0;2.0;IL1 H6;A;1.0;float;Akım IL1 H6;RG20C
4222.0;2.0;IL2 H6;A;1.0;float;Akım IL2 H6;RG20C
4226.0;2.0;IL3 H6;A;1.0;float;Akım IL3 H6;RG20C
8306.0;2.0;VL1 H7;V;1.0;float;Gerilim VL1 H7;RG20C
8310.0;2.0;VL2 H7;V;1.0;float;Gerilim VL2 H7;RG20C
8314.0;2.0;VL3 H7;V;1.0;float;Gerilim VL3 H7;RG20C
4238.0;2.0;IL1 H7;A;1.0;float;Akım IL1 H7;RG20C
4242.0;2.0;IL2 H7;A;1.0;float;Akım IL2 H7;RG20C
4246.0;2.0;IL3 H7;A;1.0;float;Akım IL3 H7;RG20C
8322.0;2.0;VL1 H8;V;1.0;float;Gerilim VL1 H8;RG20C
8326.0;2.0;VL2 H8;V;1.0;float;Gerilim VL2 H8;RG20C
8330.0;2.0;VL3 H8;V;1.0;float;Gerilim VL3 H8;RG20C
4258.0;2.0;IL1 H8;A;1.0;float;Akım IL1 H8;RG20C
4262.0;2.0;IL2 H8;A;1.0;float;Akım IL2 H8;RG20C
4266.0;2.0;IL3 H8;A;1.0;float;Akım IL3 H8;RG20C
8338.0;2.0;VL1 H9;V;1.0;float;Gerilim VL1 H9;RG20C
8342.0;2.0;VL2 H9;V;1.0;float;Gerilim VL2 H9;RG20C
8346.0;2.0;VL3 H9;V;1.0;float;Gerilim VL3 H9;RG20C
4278.0;2.0;IL1 H9;A;1.0;float;Akım IL1 H9;RG20C
4282.0;2.0;IL2 H9;A;1.0;float;Akım IL2 H9;RG20C
4286.0;2.0;IL3 H9;A;1.0;float;Akım IL3 H9;RG20C
8354.0;2.0;VL1 H10;V;1.0;float;Gerilim VL1 H10;RG20C
8358.0;2.0;VL2 H10;V;1.0;float;Gerilim VL2 H10;RG20C
8362.0;2.0;VL3 H10;V;1.0;float;Gerilim VL3 H10;RG20C
4298.0;2.0;IL1 H10;A;1.0;float;Akım IL1 H10;RG20C
4302.0;2.0;IL2 H10;A;1.0;float;Akım IL2 H10;RG20C
4306.0;2.0;IL3 H10;A;1.0;float;Akım IL3 H10;RG20C
8370.0;2.0;VL1 H11;V;1.0;float;Gerilim VL1 H11;RG20C
8374.0;2.0;VL2 H11;V;1.0;float;Gerilim VL2 H11;RG20C
8378.0;2.0;VL3 H11;V;1.0;float;Gerilim VL3 H11;RG20C
4318.0;2.0;IL1 H11;A;1.0;float;Akım IL1 H11;RG20C
4322.0;2.0;IL2 H11;A;1.0;float;Akım IL2 H11;RG20C
4326.0;2.0;IL3 H11;A;1.0;float;Akım IL3 H11;RG20C
8386.0;2.0;VL1 H12;V;1.0;float;Gerilim VL1 H12;RG20C
8390.0;2.0;VL2 H12;V;1.0;float;Gerilim VL2 H12;RG20C
8394.0;2.0;VL3 H12;V;1.0;float;Gerilim VL3 H12;RG20C
4338.0;2.0;IL1 H12;A;1.0;float;Akım IL1 H12;RG20C
4342.0;2.0;IL2 H12;A;1.0;float;Akım IL2 H12;RG20C
4346.0;2.0;IL3 H12;A;1.0;float;Akım IL3 H12;RG20C
8402.0;2.0;VL1 H13;V;1.0;float;Gerilim VL1 H13;RG20C
8406.0;2.0;VL2 H13;V;1.0;float;Gerilim VL2 H13;RG20C
8410.0;2.0;VL3 H13;V;1.0;float;Gerilim VL3 H13;RG20C
4358.0;2.0;IL1 H13;A;1.0;float;Akım IL1 H13;RG20C
4362.0;2.0;IL2 H13;A;1.0;float;Akım IL2 H13;RG20C
4366.0;2.0;IL3 H13;A;1.0;float;Akım IL3 H13;RG20C
8418.0;2.0;VL1 H14;V;1.0;float;Gerilim VL1 H14;RG20C
8422.0;2.0;VL2 H14;V;1.0;float;Gerilim VL2 H14;RG20C
8426.0;2.0;VL3 H14;V;1.0;float;Gerilim VL3 H14;RG20C
4378.0;2.0;IL1 H14;A;1.0;float;Akım IL1 H14;RG20C
4382.0;2.0;IL2 H14;A;1.0;float;Akım IL2 H14;RG20C
4386.0;2.0;IL3 H14;A;1.0;float;Akım IL3 H14;RG20C
8434.0;2.0;VL1 H15;V;1.0;float;Gerilim VL1 H15;RG20C
8438.0;2.0;VL2 H15;V;1.0;float;Gerilim VL2 H15;RG20C
8442.0;2.0;VL3 H15;V;1.0;float;Gerilim VL3 H15;RG20C
4398.0;2.0;IL1 H15;A;1.0;float;Akım IL1 H15;RG20C
4402.0;2.0;IL2 H15;A;1.0;float;Akım IL2 H15;RG20C
4406.0;2.0;IL3 H15;A;1.0;float;Akım IL3 H15;RG20C
8450.0;2.0;VL1 H16;V;1.0;float;Gerilim VL1 H16;RG20C
8454.0;2.0;VL2 H16;V;1.0;float;Gerilim VL2 H16;RG20C
8458.0;2.0;VL3 H16;V;1.0;float;Gerilim VL3 H16;RG20C
4418.0;2.0;IL1 H16;A;1.0;float;Akım IL1 H16;RG20C
4422.0;2.0;IL2 H16;A;1.0;float;Akım IL2 H16;RG20C
4426.0;2.0;IL3 H16;A;1.0;float;Akım IL3 H16;RG20C
8466.0;2.0;VL1 H17;V;1.0;float;Gerilim VL1 H17;RG20C
8470.0;2.0;VL2 H17;V;1.0;float;Gerilim VL2 H17;RG20C
8474.0;2.0;VL3 H17;V;1.0;float;Gerilim VL3 H17;RG20C
4438.0;2.0;IL1 H17;A;1.0;float;Akım IL1 H17;RG20C
4442.0;2.0;IL2 H17;A;1.0;float;Akım IL2 H17;RG20C
4446.0;2.0;IL3 H17;A;1.0;float;Akım IL3 H17;RG20C
8482.0;2.0;VL1 H18;V;1.0;float;Gerilim VL1 H18;RG20C
8486.0;2.0;VL2 H18;V;1.0;float;Gerilim VL2 H18;RG20C
8490.0;2.0;VL3 H18;V;1.0;float;Gerilim VL3 H18;RG20C
4458.0;2.0;IL1 H18;A;1.0;float;Akım IL1 H18;RG20C
4462.0;2.0;IL2 H18;A;1.0;float;Akım IL2 H18;RG20C
4466.0;2.0;IL3 H18;A;1.0;float;Akım IL3 H18;RG20C
8498.0;2.0;VL1 H19;V;1.0;float;Gerilim VL1 H19;RG20C
8502.0;2.0;VL2 H19;V;1.0;float;Gerilim VL2 H19;RG20C
8506.0;2.0;VL3 H19;V;1.0;float;Gerilim VL3 H19;RG20C
4478.0;2.0;IL1 H19;A;1.0;float;Akım IL1 H19;RG20C
4482.0;2.0;IL2 H19;A;1.0;float;Akım IL2 H19;RG20C
4486.0;2.0;IL3 H19;A;1.0;float;Akım IL3 H19;RG20C
8514.0;2.0;VL1 H20;V;1.0;float;Gerilim VL1 H20;RG20C
8518.0;2.0;VL2 H20;V;1.0;float;Gerilim VL2 H20;RG20C
8522.0;2.0;VL3 H20;V;1.0;float;Gerilim VL3 H20;RG20C
4498.0;2.0;IL1 H20;A;1.0;float;Akım IL1 H20;RG20C
4502.0;2.0;IL2 H20;A;1.0;float;Akım IL2 H20;RG20C
4506.0;2.0;IL3 H20;A;1.0;float;Akım IL3 H20;RG20C
